acc,f1,prec,rec,eval_f1,dataset,method,text_backbone,seed,logger_name
88.99,88.76,89.17,88.5,0.9058,MIntRec,misa,bert-base-uncased,0,misa_MIntRec_binary-class_2022-11-05-17-10-11
88.76,88.61,88.61,88.61,0.9038,MIntRec,misa,bert-base-uncased,0,misa_MIntRec_binary-class_2022-11-09-19-20-05
