acc,f1,prec,rec,eval_f1,dataset,method,text_backbone,seed,logger_name
67.87,65.12,66.53,66.17,0.6812,MIntRec,baseline,bert-base-uncased,0,baseline_MIntRec_multi-class_2022-11-05-22-25-18 t+v+a
69.89,64.97,67.83,63.77,0.6824,MIntRec,baseline,bert-base-uncased,0,baseline_MIntRec_multi-class_2022-11-07-11-46-06 t
70.56,66.99,68.43,66.81,0.693,MIntRec,baseline,bert-base-uncased,0,baseline_MIntRec_multi-class_2022-11-07-12-41-27 t+a
72.13,69.95,70.02,71.46,0.6925,MIntRec,baseline,bert-base-uncased,0,baseline_MIntRec_multi-class_2022-11-07-12-48-54 t+v
18.2,6.07,7.53,8.41,0.0337,MIntRec,baseline,bert-base-uncased,0,baseline_MIntRec_multi-class_2022-11-07-13-19-07 v
26.52,17.59,23.06,18.54,0.1981,MIntRec,baseline,bert-base-uncased,0,baseline_MIntRec_multi-class_2022-11-07-13-23-20 a
30.79,21.2,23.99,22.39,0.2035,MIntRec,baseline,bert-base-uncased,0,baseline_MIntRec_multi-class_2022-11-07-13-30-20 a+v
