acc,f1,prec,rec,eval_f1,dataset,method,text_backbone,seed,logger_name
71.24,68.9,70.63,68.12,0.6667,MIntRec,nmfir,bert-base-uncased,0.0,nmfir_MIntRec_multi-class_2022-11-29-13-01-21  t0.1
72.13,68.88,69.7,68.76,0.6663,MIntRec,nmfir,bert-base-uncased,0.0,nmfir_MIntRec_multi-class_2022-11-29-13-10-58  t0.5
71.24,68.9,70.63,68.12,0.6667,MIntRec,nmfir,bert-base-uncased,0.0,nmfir_MIntRec_multi-class_2022-11-29-13-31-30
71.24,67.69,68.56,67.91,0.7001,MIntRec,nmfir,bert-base-uncased,0.0,nmfir_MIntRec_multi-class_2022-11-29-13-39-40

// a b r 网格搜索,,,,,,,,,
71.69,69.64,70.11,70.28,0.7049,MIntRec,nmfir,bert-base-uncased,0.0,nmfir_MIntRec_multi-class_2023-03-13-21-02-03 a 0.1 b 0.5 r 0.5
70.11,67.55,68.36,67.21,0.6854,MIntRec,nmfir,bert-base-uncased,0.0,nmfir_MIntRec_multi-class_2023-03-13-21-12-06 a 0.2 b 0.5 r 0.5
71.24,69.04,69.94,69.23,0.6748,MIntRec,nmfir,bert-base-uncased,0.0,nmfir_MIntRec_multi-class_2023-03-13-21-34-30 a 0.3 b 0.5 r 0.5
70.34,67.96,68.41,68.37,0.6634,MIntRec,nmfir,bert-base-uncased,0.0,nmfir_MIntRec_multi-class_2023-03-13-22-39-38 a 0.4 b 0.5 r 0.5
70.56,68.36,68.7,68.93,0.6972,MIntRec,nmfir,bert-base-uncased,0.0,nmfir_MIntRec_multi-class_2023-03-14-08-15-18  a 0.5 b 0.5 r 0.5
70.34,68.54,70.77,67.92,0.6941,MIntRec,nmfir,bert-base-uncased,0.0,nmfir_MIntRec_multi-class_2023-03-14-08-24-06 a 0.6 b 0.5 r 0.5
72.36,70.92,71.07,71.75,0.7159,MIntRec,nmfir,bert-base-uncased,0.0,nmfir_MIntRec_multi-class_2023-03-13-20-51-00 a 0.7 b 0.5 r 0.5
70.79,66.91,66.93,67.52,0.7101,MIntRec,nmfir,bert-base-uncased,0.0,nmfir_MIntRec_multi-class_2023-03-14-08-34-02 a 0.8 b 0.5 r 0.5
69.66,67.22,68.91,66.96,0.6784,MIntRec,nmfir,bert-base-uncased,0.0,nmfir_MIntRec_multi-class_2023-03-14-08-50-08 a 0.9 b 0.5 r 0.5
71.69,68.27,68.96,68.27,0.6781,MIntRec,nmfir,bert-base-uncased,0.0,nmfir_MIntRec_multi-class_2023-03-14-09-07-55 a 1.0 b 0.5 r 0.5

